"NIRCam Instrument Transmission -- exclusive of filters, DBS, and detectors",,,,,,,,,,
Wavelength,Collimator,SW_Triplet,SW_Mirrors,LW_triplet,LW_Mirrors,SW_Particulates,LW_Particulates,,NVR_Wavelength,NVR_Transmission
0.647,0.681,0.690,0.932,---,0.949,0.983,---,,1.57,0.994
0.648,0.682,0.690,0.932,---,0.949,0.983,---,,1.58,0.994
0.649,0.682,0.690,0.932,---,0.949,0.983,---,,1.59,0.995
0.650,0.683,0.691,0.932,---,0.949,0.983,---,,1.60,0.995
0.651,0.683,0.691,0.933,---,0.949,0.983,---,,1.61,0.995
0.652,0.683,0.691,0.933,---,0.949,0.983,---,,1.62,0.995
0.653,0.684,0.691,0.933,---,0.949,0.983,---,,1.63,0.995
0.654,0.684,0.692,0.933,---,0.949,0.983,---,,1.64,0.995
0.655,0.684,0.692,0.933,---,0.949,0.983,---,,1.65,0.995
0.656,0.685,0.692,0.933,---,0.949,0.983,---,,1.66,0.995
0.657,0.685,0.692,0.933,---,0.949,0.983,---,,1.67,0.995
0.658,0.685,0.692,0.933,---,0.950,0.983,---,,1.68,0.995
0.659,0.685,0.692,0.933,---,0.950,0.983,---,,1.69,0.995
0.660,0.686,0.692,0.933,---,0.950,0.983,---,,1.70,0.995
0.661,0.686,0.691,0.934,---,0.950,0.983,---,,1.71,0.995
0.662,0.686,0.691,0.934,---,0.950,0.983,---,,1.72,0.995
0.663,0.686,0.691,0.934,---,0.950,0.983,---,,1.73,0.995
0.664,0.687,0.691,0.934,---,0.950,0.983,---,,1.74,0.995
0.665,0.687,0.691,0.934,---,0.950,0.983,---,,1.75,0.995
0.666,0.687,0.691,0.934,---,0.950,0.983,---,,1.76,0.995
0.667,0.687,0.690,0.934,---,0.950,0.983,---,,1.77,0.995
0.668,0.687,0.690,0.934,---,0.950,0.983,---,,1.78,0.995
0.669,0.688,0.690,0.934,---,0.950,0.983,---,,1.79,0.995
0.670,0.688,0.690,0.934,---,0.950,0.983,---,,1.80,0.995
0.671,0.688,0.689,0.935,---,0.951,0.983,---,,1.81,0.996
0.672,0.688,0.689,0.935,---,0.951,0.983,---,,1.82,0.996
0.673,0.689,0.689,0.935,---,0.951,0.983,---,,1.83,0.996
0.674,0.689,0.689,0.935,---,0.951,0.983,---,,1.84,0.996
0.675,0.689,0.688,0.935,---,0.951,0.983,---,,1.85,0.996
0.676,0.689,0.688,0.935,---,0.951,0.983,---,,1.86,0.996
0.677,0.690,0.688,0.935,---,0.951,0.983,---,,1.87,0.996
0.678,0.690,0.687,0.935,---,0.951,0.983,---,,1.88,0.996
0.679,0.690,0.687,0.935,---,0.951,0.983,---,,1.89,0.996
0.680,0.691,0.687,0.935,---,0.951,0.983,---,,1.90,0.996
0.681,0.691,0.687,0.936,---,0.951,0.983,---,,1.91,0.996
0.682,0.691,0.687,0.936,---,0.951,0.983,---,,1.92,0.996
0.683,0.691,0.686,0.936,---,0.951,0.983,---,,1.93,0.996
0.684,0.692,0.686,0.936,---,0.952,0.983,---,,1.94,0.996
0.685,0.692,0.686,0.936,---,0.952,0.983,---,,1.95,0.996
0.686,0.693,0.686,0.936,---,0.952,0.983,---,,1.96,0.996
0.687,0.693,0.686,0.936,---,0.952,0.983,---,,1.97,0.996
0.688,0.693,0.686,0.936,---,0.952,0.983,---,,1.98,0.996
0.689,0.694,0.686,0.936,---,0.952,0.983,---,,1.99,0.996
0.690,0.694,0.686,0.937,---,0.952,0.983,---,,2.00,0.996
0.691,0.695,0.686,0.937,---,0.952,0.983,---,,2.01,0.996
0.692,0.695,0.686,0.937,---,0.952,0.983,---,,2.02,0.996
0.693,0.695,0.686,0.937,---,0.952,0.983,---,,2.03,0.996
0.694,0.696,0.686,0.937,---,0.952,0.983,---,,2.04,0.996
0.695,0.696,0.686,0.937,---,0.952,0.983,---,,2.05,0.996
0.696,0.697,0.686,0.937,---,0.952,0.983,---,,2.06,0.996
0.697,0.697,0.687,0.937,---,0.953,0.983,---,,2.07,0.996
0.698,0.698,0.687,0.937,---,0.953,0.983,---,,2.08,0.996
0.699,0.699,0.687,0.937,---,0.953,0.983,---,,2.09,0.996
0.700,0.699,0.687,0.938,---,0.953,0.983,---,,2.10,0.996
0.701,0.700,0.688,0.938,---,0.953,0.983,---,,2.11,0.996
0.702,0.700,0.688,0.937,---,0.953,0.983,---,,2.12,0.996
0.703,0.701,0.688,0.937,---,0.952,0.983,---,,2.13,0.997
0.704,0.702,0.689,0.937,---,0.952,0.983,---,,2.14,0.997
0.705,0.702,0.689,0.937,---,0.952,0.983,---,,2.15,0.997
0.706,0.703,0.690,0.937,---,0.952,0.983,---,,2.16,0.997
0.707,0.703,0.690,0.937,---,0.952,0.983,---,,2.17,0.997
0.708,0.704,0.691,0.936,---,0.952,0.983,---,,2.18,0.997
0.709,0.705,0.692,0.936,---,0.952,0.983,---,,2.19,0.997
0.710,0.705,0.692,0.936,---,0.952,0.983,---,,2.20,0.997
0.711,0.706,0.693,0.936,---,0.952,0.983,---,,2.21,0.997
0.712,0.707,0.693,0.936,---,0.952,0.983,---,,2.22,0.997
0.713,0.708,0.694,0.936,---,0.951,0.983,---,,2.23,0.997
0.714,0.708,0.695,0.936,---,0.951,0.983,---,,2.24,0.997
0.715,0.709,0.696,0.936,---,0.951,0.983,---,,2.25,0.997
0.716,0.710,0.696,0.935,---,0.951,0.983,---,,2.26,0.997
0.717,0.710,0.697,0.935,---,0.951,0.983,---,,2.27,0.997
0.718,0.711,0.698,0.935,---,0.951,0.983,---,,2.28,0.997
0.719,0.712,0.699,0.935,---,0.951,0.983,---,,2.29,0.997
0.720,0.713,0.700,0.935,---,0.951,0.983,---,,2.30,0.997
0.721,0.713,0.701,0.935,---,0.951,0.983,---,,2.31,0.997
0.722,0.714,0.701,0.935,---,0.951,0.983,---,,2.32,0.997
0.723,0.715,0.702,0.934,---,0.950,0.983,---,,2.33,0.997
0.724,0.715,0.703,0.934,---,0.950,0.983,---,,2.34,0.997
0.725,0.716,0.704,0.934,---,0.950,0.983,---,,2.35,0.997
0.726,0.717,0.705,0.934,---,0.950,0.983,---,,2.36,0.997
0.727,0.718,0.706,0.934,---,0.950,0.983,---,,2.37,0.997
0.728,0.718,0.707,0.934,---,0.950,0.983,---,,2.38,0.997
0.729,0.719,0.708,0.934,---,0.950,0.983,---,,2.39,0.997
0.730,0.720,0.709,0.934,---,0.950,0.983,---,,2.40,0.997
0.731,0.720,0.710,0.933,---,0.950,0.983,---,,2.41,0.997
0.732,0.721,0.711,0.933,---,0.950,0.983,---,,2.42,0.997
0.733,0.722,0.712,0.933,---,0.949,0.983,---,,2.43,0.997
0.734,0.722,0.713,0.933,---,0.949,0.983,---,,2.44,0.997
0.735,0.723,0.714,0.933,---,0.949,0.983,---,,2.45,0.997
0.736,0.724,0.715,0.933,---,0.949,0.983,---,,2.46,0.997
0.737,0.724,0.716,0.933,---,0.949,0.983,---,,2.47,0.997
0.738,0.725,0.717,0.932,---,0.949,0.983,---,,2.48,0.997
0.739,0.726,0.718,0.932,---,0.949,0.983,---,,2.49,0.997
0.740,0.726,0.719,0.932,---,0.949,0.983,---,,2.50,0.997
0.741,0.727,0.720,0.932,---,0.949,0.983,---,,2.51,0.997
0.742,0.728,0.720,0.932,---,0.949,0.983,---,,2.52,0.997
0.743,0.728,0.721,0.932,---,0.948,0.983,---,,2.53,0.997
0.744,0.729,0.722,0.932,---,0.948,0.983,---,,2.54,0.997
0.745,0.730,0.723,0.932,---,0.948,0.983,---,,2.55,0.997
0.746,0.730,0.724,0.931,---,0.948,0.983,---,,2.56,0.997
0.747,0.731,0.725,0.931,---,0.948,0.983,---,,2.57,0.997
0.748,0.731,0.726,0.931,---,0.948,0.983,---,,2.58,0.997
0.749,0.732,0.727,0.931,---,0.948,0.983,---,,2.59,0.997
0.750,0.732,0.728,0.931,---,0.948,0.983,---,,2.60,0.997
0.751,0.733,0.728,0.931,---,0.948,0.983,---,,2.61,0.997
0.752,0.734,0.729,0.931,---,0.947,0.983,---,,2.62,0.997
0.753,0.734,0.730,0.930,---,0.947,0.983,---,,2.63,0.997
0.754,0.735,0.731,0.930,---,0.947,0.983,---,,2.64,0.997
0.755,0.735,0.732,0.930,---,0.947,0.983,---,,2.65,0.997
0.756,0.736,0.732,0.930,---,0.947,0.983,---,,2.66,0.997
0.757,0.736,0.733,0.930,---,0.947,0.983,---,,2.67,0.997
0.758,0.737,0.734,0.930,---,0.947,0.983,---,,2.68,0.997
0.759,0.737,0.734,0.930,---,0.947,0.983,---,,2.69,0.997
0.760,0.737,0.735,0.930,---,0.947,0.983,---,,2.70,0.997
0.761,0.738,0.736,0.929,---,0.947,0.983,---,,2.71,0.997
0.762,0.738,0.736,0.929,---,0.946,0.983,---,,2.72,0.998
0.763,0.739,0.737,0.929,---,0.946,0.983,---,,2.73,0.998
0.764,0.739,0.738,0.929,---,0.946,0.983,---,,2.74,0.998
0.765,0.740,0.738,0.929,---,0.946,0.983,---,,2.75,0.998
0.766,0.740,0.739,0.929,---,0.946,0.983,---,,2.76,0.998
0.767,0.741,0.739,0.929,---,0.946,0.983,---,,2.77,0.998
0.768,0.741,0.740,0.928,---,0.946,0.983,---,,2.78,0.998
0.769,0.741,0.740,0.928,---,0.946,0.983,---,,2.79,0.997
0.770,0.742,0.741,0.928,---,0.946,0.983,---,,2.80,0.997
0.771,0.742,0.741,0.928,---,0.946,0.983,---,,2.81,0.996
0.772,0.743,0.742,0.928,---,0.945,0.983,---,,2.82,0.995
0.773,0.743,0.742,0.928,---,0.945,0.983,---,,2.83,0.993
0.774,0.743,0.743,0.928,---,0.945,0.983,---,,2.84,0.990
0.775,0.743,0.743,0.928,---,0.945,0.983,---,,2.85,0.987
0.776,0.744,0.743,0.927,---,0.945,0.983,---,,2.86,0.979
0.777,0.744,0.744,0.927,---,0.945,0.983,---,,2.87,0.973
0.778,0.744,0.744,0.927,---,0.945,0.983,---,,2.88,0.968
0.779,0.745,0.744,0.927,---,0.945,0.983,---,,2.89,0.963
0.780,0.745,0.744,0.927,---,0.945,0.983,---,,2.90,0.960
0.781,0.745,0.745,0.927,---,0.945,0.983,---,,2.91,0.955
0.782,0.745,0.745,0.927,---,0.944,0.983,---,,2.92,0.951
0.783,0.746,0.745,0.926,---,0.944,0.983,---,,2.93,0.944
0.784,0.746,0.745,0.926,---,0.944,0.983,---,,2.94,0.935
0.785,0.746,0.746,0.926,---,0.944,0.983,---,,2.95,0.927
0.786,0.746,0.746,0.926,---,0.944,0.983,---,,2.96,0.916
0.787,0.747,0.746,0.926,---,0.944,0.983,---,,2.97,0.905
0.788,0.747,0.746,0.926,---,0.944,0.983,---,,2.98,0.895
0.789,0.747,0.746,0.926,---,0.944,0.983,---,,2.99,0.881
0.790,0.747,0.746,0.926,---,0.944,0.983,---,,3.00,0.870
0.791,0.748,0.747,0.925,---,0.944,0.983,---,,3.01,0.854
0.792,0.748,0.747,0.925,---,0.943,0.983,---,,3.02,0.843
0.793,0.748,0.747,0.925,---,0.943,0.983,---,,3.03,0.829
0.794,0.748,0.747,0.925,---,0.943,0.983,---,,3.04,0.821
0.795,0.749,0.747,0.925,---,0.943,0.983,---,,3.05,0.817
0.796,0.749,0.747,0.925,---,0.943,0.983,---,,3.06,0.811
0.797,0.749,0.747,0.925,---,0.943,0.983,---,,3.07,0.812
0.798,0.749,0.748,0.925,---,0.943,0.983,---,,3.08,0.809
0.799,0.750,0.748,0.924,---,0.943,0.983,---,,3.09,0.812
0.800,0.750,0.748,0.924,---,0.943,0.983,---,,3.10,0.817
0.801,0.750,0.748,0.924,---,0.943,0.983,---,,3.11,0.819
0.802,0.750,0.748,0.924,---,0.942,0.983,---,,3.12,0.823
0.803,0.751,0.748,0.924,---,0.942,0.983,---,,3.13,0.832
0.804,0.751,0.748,0.924,---,0.942,0.983,---,,3.14,0.839
0.805,0.751,0.748,0.924,---,0.942,0.983,---,,3.15,0.848
0.806,0.752,0.749,0.923,---,0.942,0.983,---,,3.16,0.857
0.807,0.752,0.749,0.923,---,0.942,0.983,---,,3.17,0.865
0.808,0.752,0.749,0.923,---,0.942,0.983,---,,3.18,0.877
0.809,0.752,0.749,0.923,---,0.942,0.983,---,,3.19,0.887
0.810,0.753,0.749,0.923,---,0.942,0.983,---,,3.20,0.897
0.811,0.753,0.749,0.923,---,0.942,0.983,---,,3.21,0.906
0.812,0.753,0.749,0.923,---,0.941,0.983,---,,3.22,0.915
0.813,0.753,0.749,0.923,---,0.941,0.983,---,,3.23,0.926
0.814,0.754,0.749,0.922,---,0.941,0.983,---,,3.24,0.933
0.815,0.754,0.749,0.922,---,0.941,0.983,---,,3.25,0.939
0.816,0.754,0.749,0.922,---,0.941,0.983,---,,3.26,0.947
0.817,0.754,0.749,0.922,---,0.941,0.983,---,,3.27,0.954
0.818,0.754,0.749,0.922,---,0.941,0.983,---,,3.28,0.959
0.819,0.755,0.749,0.922,---,0.941,0.983,---,,3.29,0.964
0.820,0.755,0.749,0.922,---,0.941,0.983,---,,3.30,0.969
0.821,0.755,0.750,0.921,---,0.941,0.983,---,,3.31,0.972
0.822,0.755,0.750,0.921,---,0.940,0.983,---,,3.32,0.974
0.823,0.756,0.750,0.921,---,0.940,0.983,---,,3.33,0.975
0.824,0.756,0.750,0.921,---,0.940,0.983,---,,3.34,0.967
0.825,0.756,0.750,0.921,---,0.940,0.983,---,,3.35,0.940
0.826,0.756,0.750,0.921,---,0.940,0.983,---,,3.36,0.881
0.827,0.756,0.750,0.921,---,0.940,0.983,---,,3.37,0.885
0.828,0.757,0.750,0.921,---,0.940,0.983,---,,3.38,0.944
0.829,0.757,0.750,0.920,---,0.940,0.983,---,,3.39,0.960
0.830,0.757,0.750,0.920,---,0.940,0.983,---,,3.40,0.953
0.831,0.757,0.751,0.920,---,0.940,0.983,---,,3.41,0.945
0.832,0.758,0.751,0.920,---,0.939,0.983,---,,3.42,0.940
0.833,0.758,0.751,0.920,---,0.939,0.983,---,,3.43,0.941
0.834,0.758,0.751,0.920,---,0.939,0.983,---,,3.44,0.939
0.835,0.759,0.751,0.920,---,0.939,0.983,---,,3.45,0.934
0.836,0.759,0.751,0.920,---,0.939,0.983,---,,3.46,0.933
0.837,0.759,0.752,0.919,---,0.939,0.983,---,,3.47,0.938
0.838,0.759,0.752,0.919,---,0.939,0.983,---,,3.48,0.938
0.839,0.760,0.752,0.919,---,0.939,0.983,---,,3.49,0.943
0.840,0.760,0.752,0.919,---,0.939,0.983,---,,3.50,0.950
0.841,0.760,0.752,0.919,---,0.939,0.983,---,,3.51,0.956
0.842,0.760,0.753,0.919,---,0.938,0.983,---,,3.52,0.963
0.843,0.761,0.753,0.919,---,0.938,0.983,---,,3.53,0.969
0.844,0.761,0.753,0.918,---,0.938,0.983,---,,3.54,0.974
0.845,0.761,0.753,0.918,---,0.938,0.983,---,,3.55,0.977
0.846,0.762,0.754,0.918,---,0.938,0.983,---,,3.56,0.979
0.847,0.762,0.754,0.918,---,0.938,0.983,---,,3.57,0.982
0.848,0.762,0.754,0.918,---,0.938,0.983,---,,3.58,0.984
0.849,0.762,0.754,0.918,---,0.938,0.983,---,,3.59,0.985
0.850,0.763,0.755,0.918,---,0.938,0.983,---,,3.60,0.985
0.851,0.763,0.755,0.918,---,0.937,0.983,---,,3.61,0.985
0.852,0.763,0.755,0.917,---,0.937,0.983,---,,3.62,0.984
0.853,0.763,0.756,0.917,---,0.937,0.983,---,,3.63,0.983
0.854,0.764,0.756,0.917,---,0.937,0.983,---,,3.64,0.983
0.855,0.764,0.756,0.917,---,0.937,0.983,---,,3.65,0.984
0.856,0.764,0.756,0.917,---,0.937,0.983,---,,3.66,0.986
0.857,0.764,0.757,0.917,---,0.937,0.983,---,,3.67,0.987
0.858,0.765,0.757,0.917,---,0.937,0.983,---,,3.68,0.989
0.859,0.765,0.757,0.916,---,0.937,0.983,---,,3.69,0.991
0.860,0.765,0.758,0.916,---,0.937,0.983,---,,3.70,0.991
0.861,0.765,0.758,0.916,---,0.936,0.983,---,,3.71,0.991
0.862,0.766,0.758,0.916,---,0.936,0.983,---,,3.72,0.992
0.863,0.766,0.759,0.916,---,0.936,0.983,---,,3.73,0.993
0.864,0.766,0.759,0.916,---,0.936,0.983,---,,3.74,0.994
0.865,0.766,0.759,0.916,---,0.936,0.983,---,,3.75,0.994
0.866,0.767,0.760,0.916,---,0.936,0.983,---,,3.76,0.994
0.867,0.767,0.760,0.915,---,0.936,0.983,---,,3.77,0.994
0.868,0.767,0.760,0.915,---,0.936,0.983,---,,3.78,0.994
0.869,0.767,0.761,0.915,---,0.936,0.983,---,,3.79,0.995
0.870,0.767,0.761,0.915,---,0.936,0.983,---,,3.80,0.994
0.871,0.768,0.761,0.915,---,0.935,0.983,---,,3.81,0.995
0.872,0.768,0.762,0.915,---,0.935,0.983,---,,3.82,0.995
0.873,0.768,0.762,0.915,---,0.935,0.983,---,,3.83,0.995
0.874,0.768,0.762,0.915,---,0.935,0.983,---,,3.84,0.995
0.875,0.768,0.763,0.914,---,0.935,0.983,---,,3.85,0.995
0.876,0.768,0.763,0.914,---,0.935,0.983,---,,3.86,0.995
0.877,0.769,0.763,0.914,---,0.935,0.983,---,,3.87,0.995
0.878,0.769,0.764,0.914,---,0.935,0.983,---,,3.88,0.995
0.879,0.769,0.764,0.914,---,0.935,0.983,---,,3.89,0.995
0.880,0.769,0.764,0.914,---,0.935,0.983,---,,3.90,0.995
0.881,0.769,0.765,0.914,---,0.934,0.983,---,,3.91,0.995
0.882,0.769,0.765,0.913,---,0.934,0.983,---,,3.92,0.995
0.883,0.769,0.765,0.913,---,0.934,0.983,---,,3.93,0.995
0.884,0.769,0.766,0.913,---,0.934,0.983,---,,3.94,0.995
0.885,0.770,0.766,0.913,---,0.934,0.983,---,,3.95,0.996
0.886,0.770,0.766,0.913,---,0.934,0.983,---,,3.96,0.996
0.887,0.770,0.767,0.913,---,0.934,0.983,---,,3.97,0.996
0.888,0.770,0.767,0.913,---,0.934,0.983,---,,3.98,0.996
0.889,0.770,0.767,0.913,---,0.934,0.983,---,,3.99,0.996
0.890,0.770,0.767,0.912,---,0.934,0.983,---,,4.00,0.996
0.891,0.770,0.768,0.912,---,0.933,0.983,---,,4.01,0.996
0.892,0.770,0.768,0.912,---,0.933,0.983,---,,4.02,0.997
0.893,0.770,0.768,0.912,---,0.933,0.983,---,,4.03,0.997
0.894,0.770,0.769,0.912,---,0.933,0.983,---,,4.04,0.997
0.895,0.770,0.769,0.912,---,0.933,0.983,---,,4.05,0.998
0.896,0.770,0.769,0.912,---,0.933,0.983,---,,4.06,0.998
0.897,0.770,0.769,0.912,---,0.933,0.983,---,,4.07,0.998
0.898,0.770,0.769,0.911,---,0.933,0.983,---,,4.08,0.999
0.899,0.770,0.770,0.911,---,0.933,0.983,---,,4.09,0.999
0.900,0.770,0.770,0.911,---,0.933,0.983,---,,4.10,0.999
0.901,0.770,0.770,0.911,---,0.933,0.983,---,,4.11,0.998
0.902,0.770,0.770,0.911,---,0.933,0.983,---,,4.12,0.998
0.903,0.770,0.771,0.911,---,0.933,0.983,---,,4.13,0.998
0.904,0.770,0.771,0.911,---,0.933,0.983,---,,4.14,0.997
0.905,0.770,0.771,0.911,---,0.933,0.983,---,,4.15,0.998
0.906,0.770,0.771,0.912,---,0.933,0.983,---,,4.16,0.998
0.907,0.770,0.771,0.912,---,0.933,0.983,---,,4.17,0.998
0.908,0.770,0.771,0.912,---,0.933,0.983,---,,4.18,0.998
0.909,0.770,0.772,0.912,---,0.933,0.983,---,,4.19,0.998
0.910,0.770,0.772,0.912,---,0.933,0.983,---,,4.20,0.998
0.911,0.770,0.772,0.912,---,0.933,0.983,---,,4.21,0.998
0.912,0.770,0.772,0.912,---,0.933,0.983,---,,4.22,0.998
0.913,0.770,0.772,0.912,---,0.933,0.983,---,,4.23,0.998
0.914,0.770,0.772,0.912,---,0.933,0.983,---,,4.24,0.998
0.915,0.770,0.772,0.912,---,0.933,0.983,---,,4.25,0.998
0.916,0.770,0.772,0.912,---,0.933,0.983,---,,4.26,0.998
0.917,0.769,0.773,0.912,---,0.934,0.983,---,,4.27,0.984
0.918,0.769,0.773,0.912,---,0.934,0.983,---,,4.28,0.963
0.919,0.769,0.773,0.913,---,0.934,0.983,---,,4.29,0.997
0.920,0.769,0.773,0.913,---,0.934,0.983,---,,4.30,0.998
0.921,0.769,0.773,0.913,---,0.934,0.983,---,,4.31,0.998
0.922,0.769,0.773,0.913,---,0.934,0.983,---,,4.32,0.998
0.923,0.769,0.773,0.913,---,0.934,0.983,---,,4.33,0.998
